#SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4   M_J    M_Ks  i-z  z-Y  R_Rsun Msun  #SpT
O3V    46000 4.663  5.80 -9.75 -4.05  -5.7  -0.32   ...    ...    ...    ...    ...    ..... -1.22   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  12.5   ....  O3V
T5.5V  1010  3.004 -5.04 17.34 ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.10    ...     1.86   ...    ...    15.28  15.18  3.97 1.89 0.099  ...   T5.5V
T6V     960  2.982 -5.12 17.54 ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.1   -0.03    ...     2.02   ...    ...    15.61  15.54  3.98 1.96 0.100  ...   T6V
T7V     840  2.924 -5.37 18.17 ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.0    0.00    ...     2.38   ...    ...    15.77  16.36  4.01 2.11 0.098  ...   T7V
T7.5V   770  2.886 -5.54 18.59 ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.05    ...     2.59   ...    ...    16.51  16.85  4.05 2.19 0.095  ...   T7.5V
T8V     700  2.845 -5.71 19.02 ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.05    ...     2.79   ...    ...    17.24  17.43  4.08 2.26 0.095  ...   T8V
T8.5V   610  2.785 -5.93 19.57 ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2    ...     ...     ...    ...    ...    18.45  ...    ...  ...  0.097  ...   T8.5V
T9V     530  2.724 -6.15 20.12 ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.1   -0.20    ...     ...    ...    ...    19.67  18.48  ...  ...  0.100  ...   T9V
T9.5V   475  2.677  ...  ...   ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...    ...     ...     ...    ...    ...    19.52: 19.32  ...  ...  ...    ...   T9.5V
Y0V     420  2.623 -6.52 ...   ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...   -0.5     ...     2.4    ...    ...    21     ...    ...  ...  0.104  ...   Y0V
Y0.5V   390  2.591  ...  ...   ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...   -0.6     ...     2.5    ...    ...    22     21.5   ...  ...  ...    ...   Y0.5V
Y1V     350  2.544  ...  ...   ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...    ...     ...     2.6    ...    ...    23     23     ...  ...  ...    ...   Y1V
Y1.5V   325  2.512  ...  ...   ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...   -0.8     ...     ...    ...    ...    25     23.5   ...  ...  ...    ...   Y1.5V
Y2V     250  2.398  ...  26.2  ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...    ...     ...     3.4    ...    ...    28.3   24     ...  ...  ...    ...   Y2V
